,name,salary,company,additional,skills,date
2595,Manual QA Engineer,,Devim,"['Санкт-Петербург', 'Полный рабочий день']","['Инженер по ручному тестированию', 'Средний (Middle)', 'SQL', 'Swagger', 'Allure', 'Grafana', 'Metabase', 'Postman', 'TestRail', 'RabbitMQ', 'Jira']",27 мая
2596,Системный аналитик/System analyst,,ГЕОМИКС,"['Москва', 'Полный рабочий день', 'Можно удаленно']","['Системный аналитик', 'Средний (Middle)', 'SQL', 'BPMN', 'UML', 'Анализ требований', 'Системный анализ', 'Управление требованиями к ПО', 'Системная аналитика', 'DDD']",27 мая
2597,Video streaming developer (live video calls),от 3500 €,Wisebits,"['Полный рабочий день', 'Можно удаленно']","['Фулстек разработчик', 'Старший (Senior)', 'WebRTC', 'Видеостриминг', 'JavaScript', 'Node.js', 'TypeScript', 'Dash']",27 мая
2598,Middle+ C# разработчик,,SMS-Man,"['Москва', 'Полный рабочий день']","['Десктоп разработчик', 'Средний (Middle)', 'SQL', 'C#', 'Git', 'Английский язык', '.NET', 'ООП']",27 мая
2599,Data Engineer,,GlowByte,"['Москва', 'Полный рабочий день', 'Можно удаленно']","['Инженер по данным', 'Старший (Senior)', 'PostgreSQL', 'Базы данных', 'Greenplum', 'ETL', 'Oracle']",27 мая
2600,Инженер DevOps,,GlowByte,"['Москва', 'Полный рабочий день', 'Можно удаленно']","['DevOps-инженер', 'Средний (Middle)', 'Linux', 'Git', 'Docker', 'Kubernetes', 'Nginx', 'Redis', 'Apache Kafka', 'Ansible', 'DevOps', 'Terraform']",27 мая
2601,Data Engineer (MENA),,GlowByte,"['Эр-Рияд', 'Полный рабочий день', 'Можно удаленно']","['Разработчик баз данных', 'Старший (Senior)', 'SQL', 'Базы данных', 'PostgreSQL', 'Oracle', 'Английский язык', 'Greenplum', 'ETL']",27 мая
2602,Systems Analyst (MENA),,GlowByte,"['Эр-Рияд', 'Полный рабочий день', 'Можно удаленно']","['Системный аналитик', 'Старший (Senior)', 'SQL', 'ООП', 'Базы данных', 'Английский язык', 'Алгоритмы и структуры данных', 'Проектирование баз данных']",27 мая
2603,Системный аналитик ,до 280 000 ₽,Outlines Tech,"['Полный рабочий день', 'Можно удаленно']","['Системный аналитик', 'Средний (Middle)', 'SQL', 'Системная аналитика', 'BPMN', 'Анализ требований', 'ER-диаграммы', 'UML', 'Системный анализ', 'Техническая документация']",27 мая
2604,Архитектор DWH,,GlowByte,"['Москва', 'Полный рабочий день', 'Можно удаленно']","['Архитектор баз данных', 'Ведущий (Lead)', 'SQL', 'Базы данных', 'PostgreSQL', 'Greenplum', 'ETL', 'Apache Hadoop']",27 мая
2605,Digital маркетолог,от 130 000 ₽,TenChat,"['Москва', 'Полный рабочий день']","['Менеджер по маркетингу', 'Средний (Middle)', 'Интернет маркетинг']",27 мая
2606,Senior Ruby Engineer,от 3500 до 5000 $,Idelsoft,"['Полный рабочий день', 'Можно удаленно']","['Бэкенд разработчик', 'Старший (Senior)', 'SQL', 'Ruby on Rails', 'Ruby', 'RSpec', 'TDD/BDD', 'ООП', 'PostgreSQL']",27 мая
2607,Backend Developer (Java),,Renue,"['Полный рабочий день', 'Можно удаленно']","['Бэкенд разработчик', 'Средний (Middle)', 'Prometheus', 'Hibernate', 'Apache Kafka', 'Java Spring Framework', 'PostgreSQL', 'Linux', 'Kubernetes', 'Java', 'Redis']",27 мая
2608,Инсталлятор интернета,,beeline,"['Москва', 'Полный рабочий день']","['Инженер по доступности сервисов', 'Стажёр (Intern)', 'Базы данных']",27 мая
2609,Инженер технической поддержки,,Okko,"['Санкт-Петербург', 'Полный рабочий день']","['Инженер технической поддержки', 'Средний (Middle)', 'Mac', 'Администрирование Windows', 'Техническая поддержка', 'Настройка и ремонт компьютерной техники', 'Установка и обслуживание офисной техники', 'Ремонт и обслуживание оргтехники']",27 мая
2610,Инженер по информационной безопасности,,Naumen,"['Полный рабочий день', 'Можно удаленно']","['Инженер по безопасности', 'Средний (Middle)', 'SIEM', 'IDS', 'Kaspersky Endpoint Security', 'Защита информации']",27 мая
2611,Backend-разработчик Go (Приложение продавца),,SOKOLOV,"['Полный рабочий день', 'Можно удаленно']","['Бэкенд разработчик', 'Средний (Middle)', 'SQL', 'Golang', 'PostgreSQL']",27 мая
2612,Ведущий системный администратор,до 260 000 ₽,SOKOLOV,"['Полный рабочий день', 'Можно удаленно']","['Системный администратор', 'Старший (Senior)', 'Администрирование Windows', 'Active directory', 'Hyper-V', 'Zabbix', 'VMware', 'Mikrotik', 'Мониторинг сетей', 'Microsoft Exchange Server']",27 мая
2613,Frontend Developer (React),,Red Collar,"['Воронеж', 'Полный рабочий день', 'Можно удаленно']","['Фронтенд разработчик', 'Средний (Middle)', 'React', 'TypeScript', 'JavaScript', 'HTML', 'CSS', 'Redux', 'Jest', 'React Native', 'Next.js', 'CI/CD']",27 мая
2614,IT-ресечер,,Флант,"['Полный рабочий день', 'Можно удаленно']","['Менеджер по персоналу', 'Поиск талантов', 'Подбор специалистов', 'Обработка резюме', 'Рекрутмент']",27 мая
2615,Администратор PostgreSQL,,ПСБ цифровая лаборатория,"['Москва', 'Полный рабочий день', 'Можно удаленно']","['Администратор баз данных', 'Средний (Middle)', 'PostgreSQL']",27 мая
